Week,Date,Opponent,WinLoss,AtlScore,OppScore,HomeAway
1,September 10,Carolina Panthers,W,24,10,H
2,September 17,Green Bay Packers,W,25,24,H
3,September 24,Detroit Lions,L,6,20,A
4,October 1,Jacksonville Jaguars,L,7,23,A
5,October 8,Houston Texans,W,21,19,H
6,October 15,Washington Commanders,L,16,24,H
7,October 22,Tampa Bay Buccaneers,W,16,13,A
8,October 29,Tennessee Titans,L,23,28,A
9,November 5,Minnesota Vikings,L,28,31,H
10,November 12,Arizona Cardinals,L,23,25,A
12,November 26,New Orleans Saints,W,24,15,H
13,December 3,New York Jets,W,13,8,A
14,December 10,Tampa Bay Buccaneers,L,25,29,H
15,December 17,Carolina Panthers,L,7,9,A
16,December 24,Indianapolis Colts,W,29,10,H
17,December 31,Chicago Bears,L,17,37,A
18,January 7,New Orleans Saints,L,17,48,A